,Saler,Production Year,Milage,Transmition,Quantity of doors,Color,Invoice,Country of origin,Accident-free,Serviced in aso,First registration,Polish registration,First owner,Alloy wheels,Description,price,location
0,Osoby prywatnej,2019.0,15 000 km,Manualna,5,Biały,0.0,Polska,1.0,1.0,13/08/2019,1.0,1.0,0.0,0.0,40000,7
1,Osoby prywatnej,2012.0,139 000 km,Manualna,5,Biały,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,15900,16
2,Osoby prywatnej,2006.0,90 812 km,Manualna,5,Szary,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,12500,6
3,Osoby prywatnej,2012.0,70 370 km,Manualna,5,Inny kolor,0.0,NaN,0.0,0.0,14/05/2012,0.0,0.0,0.0,0.0,17900,5
4,Firmy,2009.0,170 000 km,Manualna,5,Niebieski,1.0,Niemcy,1.0,1.0,NaN,0.0,0.0,1.0,0.0,13900,7
5,Osoby prywatnej,2009.0,164 000 km,Manualna,3,Czerwony,1.0,Niemcy,1.0,1.0,14/07/2009,0.0,0.0,0.0,0.0,11900,7
6,Osoby prywatnej,2006.0,159 800 km,Manualna,3,Czerwony,1.0,NaN,0.0,0.0,NaN,0.0,0.0,1.0,0.0,7900,15
7,Osoby prywatnej,2008.0,128 000 km,Manualna,3,Czerwony,1.0,Niemcy,1.0,1.0,NaN,0.0,0.0,0.0,0.0,11900,5
8,Firmy,2008.0,129 803 km,Manualna,5,Szary,0.0,Polska,0.0,1.0,09/04/2008,1.0,0.0,0.0,0.0,12000,12
9,Firmy,2010.0,160 000 km,Manualna,5,Brązowy,1.0,Polska,0.0,1.0,27/10/2010,0.0,1.0,0.0,0.0,12900,5
10,Osoby prywatnej,2008.0,119 000 km,Manualna,5,Szary,0.0,Polska,0.0,1.0,15/10/2008,1.0,0.0,1.0,0.0,12900,7
11,Firmy,2010.0,97 000 km,Manualna,5,Szary,1.0,Niemcy,1.0,1.0,NaN,0.0,1.0,0.0,0.0,13800,7
12,Firmy,2008.0,140 000 km,Manualna,5,Czarny,1.0,Niemcy,1.0,0.0,15/02/2008,0.0,0.0,0.0,0.0,11900,11
13,Osoby prywatnej,2006.0,140 123 km,Manualna,5,Czarny,1.0,NaN,1.0,1.0,NaN,0.0,0.0,1.0,0.0,9900,15
14,Osoby prywatnej,2006.0,106 000 km,Manualna,3,Czarny,0.0,Niemcy,1.0,0.0,NaN,0.0,0.0,0.0,0.0,3499,15
15,Firmy,2006.0,139 000 km,Manualna,5,Szary,1.0,Niemcy,1.0,1.0,02/03/2006,0.0,0.0,0.0,0.0,11000,5
16,Osoby prywatnej,2007.0,117 000 km,Manualna,3,Srebrny,0.0,NaN,1.0,1.0,NaN,1.0,0.0,1.0,0.0,7900,1
17,Firmy,2007.0,204 000 km,Manualna,3,Czerwony,1.0,Niemcy,0.0,0.0,NaN,1.0,1.0,0.0,0.0,8900,12
18,Osoby prywatnej,2007.0,74 300 km,Manualna,5,Czarny,1.0,Niemcy,0.0,0.0,27/09/2007,0.0,0.0,0.0,0.0,12700,9
19,Firmy,2007.0,182 358 km,Manualna,3,Niebieski,1.0,Niemcy,1.0,1.0,NaN,0.0,0.0,0.0,0.0,9500,12
20,Firmy,2013.0,170 000 km,Manualna,5,Biały,1.0,Dania,0.0,1.0,NaN,0.0,0.0,0.0,0.0,11500,16
21,Osoby prywatnej,2013.0,210 000 km,Manualna,5,Biały,0.0,Polska,1.0,0.0,30/05/2019,1.0,0.0,0.0,0.0,11400,1
22,Firmy,2006.0,166 000 km,Manualna,5,Czerwony,0.0,Niemcy,1.0,1.0,NaN,0.0,1.0,0.0,0.0,10800,7
23,Osoby prywatnej,2006.0,139 000 km,Manualna,3,Szary,0.0,NaN,1.0,1.0,NaN,0.0,0.0,0.0,0.0,11500,8
24,Firmy,2009.0,180 000 km,Manualna,5,Niebieski,1.0,Belgia,0.0,1.0,NaN,0.0,1.0,1.0,0.0,11999,12
25,Osoby prywatnej,2006.0,192 950 km,Manualna,3,Szary,0.0,Niemcy,0.0,0.0,NaN,0.0,0.0,0.0,0.0,8600,14
26,Firmy,2010.0,121 542 km,Manualna,5,Czarny,1.0,Niemcy,1.0,1.0,NaN,1.0,1.0,0.0,0.0,14400,12
27,Firmy,2007.0,163 000 km,Manualna,3,Czarny,1.0,NaN,1.0,1.0,NaN,0.0,0.0,1.0,0.0,6900,6
28,Firmy,2008.0,97 544 km,Manualna,5,Srebrny,1.0,Niemcy,0.0,1.0,09/07/2008,1.0,1.0,0.0,0.0,13900,2
29,Firmy,2008.0,185 000 km,Manualna,3,Czerwony,1.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,6900,9
30,Osoby prywatnej,2010.0,152 889 km,Manualna,5,Czerwony,0.0,NaN,0.0,0.0,21/12/2010,0.0,0.0,0.0,0.0,12900,16
31,Firmy,2008.0,152 388 km,Manualna,5,Srebrny,1.0,Niemcy,1.0,1.0,21/04/2008,0.0,1.0,0.0,0.0,9999,7
32,Osoby prywatnej,2009.0,158 000 km,Manualna,5,Niebieski,1.0,Niemcy,1.0,1.0,17/07/2009,0.0,0.0,0.0,0.0,12700,9
33,Osoby prywatnej,2006.0,207 000 km,Manualna,3,Szary,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,6900,10
34,Osoby prywatnej,2009.0,123 000 km,Manualna,5,Czerwony,0.0,NaN,0.0,0.0,24/06/2009,0.0,0.0,0.0,0.0,14000,13
35,Firmy,2006.0,134 584 km,Manualna,3,Czarny,1.0,Niemcy,1.0,0.0,28/09/2006,0.0,1.0,1.0,0.0,12500,9
36,Osoby prywatnej,2007.0,160 000 km,Manualna,5,Niebieski,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,10500,12
37,Osoby prywatnej,2008.0,145 000 km,Manualna,5,Srebrny,1.0,NaN,1.0,0.0,NaN,0.0,0.0,0.0,0.0,9999,13
38,Osoby prywatnej,2010.0,135 000 km,Manualna,5,Szary,0.0,NaN,0.0,0.0,06/01/2010,0.0,0.0,0.0,0.0,13900,5
39,Osoby prywatnej,2010.0,191 000 km,Manualna,5,Niebieski,1.0,Niemcy,0.0,0.0,10/06/2010,0.0,0.0,0.0,0.0,11900,7
40,Firmy,2007.0,183 000 km,Manualna,5,Srebrny,0.0,Polska,1.0,0.0,04/06/2007,1.0,0.0,0.0,0.0,8700,12
41,Osoby prywatnej,2010.0,169 000 km,Manualna,5,Szary,1.0,Niemcy,1.0,0.0,NaN,0.0,0.0,0.0,0.0,15900,9
42,Firmy,2009.0,220 000 km,Manualna,5,Niebieski,1.0,Niemcy,0.0,0.0,NaN,0.0,0.0,0.0,0.0,7950,16
43,Firmy,2011.0,79 300 km,Manualna,3,Biały,0.0,NaN,1.0,0.0,08/12/2011,1.0,0.0,1.0,0.0,13400,1
44,Osoby prywatnej,2011.0,154 000 km,Manualna,5,Szary,0.0,NaN,0.0,0.0,NaN,0.0,1.0,0.0,0.0,11500,1
45,Firmy,2006.0,59 300 km,Manualna,3,Czerwony,1.0,Niemcy,1.0,1.0,NaN,0.0,1.0,0.0,0.0,11400,15
