year,mileage,price,location
2014,65006,23900,15
2008,129803,12000,12
2019,15000,37000,7
2005,121400,8500,5
2008,164000,12600,5
2010,83000,12400,15
2007,156000,12700,7
2012,135000,12700,10
2008,128000,11900,5
2007,219000,9900,12
2008,119120,12800,12
2008,173746,11900,15
2009,170000,6900,15
2008,167000,10500,15
2011,92000,11500,3
2009,102000,8990,5
2011,151000,13700,15
2009,186642,11400,15
2009,200000,10600,9
2009,117000,12999,15
2008,210000,8900,1
2006,166000,8200,3
2005,185000,8300,2
2008,122000,8950,6
2007,168000,9300,15
2011,195148,15300,9
2007,113000,10900,11
2005,162586,7000,11
2009,127000,10900,5
2013,96000,16900,15
2006,190000,11900,7
2013,170000,15990,6
2007,150645,10900,15
2010,147600,11500,8
2013,178000,14999,7
2012,125173,19500,1
2014,122830,19600,1
2009,124850,13999,1
2010,93000,14900,9
2008,178000,9900,12
2012,139000,15900,16
2014,138000,17900,9
2008,85000,11900,7
2013,114632,16400,12
2010,117000,13400,12
2007,148000,10900,12
2013,98000,20900,2
2006,178000,7700,11
2008,171000,10900,16
2010,139000,11999,16
2010,160000,12900,5
2009,166000,11400,6
2011,105500,12600,4
2006,86000,8800,1
2011,169000,14900,9
2010,97000,13800,7
2006,123421,8900,1
2008,183083,11900,13
2008,168000,9900,4
2008,96000,11200,12
2006,166000,10800,7
2008,146000,14900,7
2010,121542,14400,12
2009,164340,14600,2
2012,148000,10900,3
2014,126900,16900,13
2009,108298,16600,12
2013,59000,21500,5
2008,152388,9999,7
2009,158000,12700,9
2008,164500,13900,6
2006,134584,12000,9
2009,125000,9700,10
2009,127300,11999,7
2010,169000,15900,9
2012,158060,15900,12
2013,95000,19555,15
2007,139310,10900,6
2008,193000,12500,6
2012,112000,17900,14
2007,159917,10700,11
2010,109000,17900,4
2007,131288,9900,2
2008,112000,13900,12
2011,136000,13900,1
2014,149000,16500,13
2007,246000,9900,15
2008,127000,16500,12
2008,158600,10500,13
2013,128666,18900,7
2006,104834,9900,7
2007,118000,10900,5
2005,128011,8500,3
2009,112000,11900,7
2009,65000,12900,7
2005,260000,4950,6
2009,149000,13800,2
2008,162500,6300,1
2007,117000,7900,1
2008,145234,12900,14
2011,157771,11000,1
2013,50634,16600,15
2008,145000,6500,6
2006,165500,5200,7
2006,230100,6999,15
2007,142700,11900,15
2010,160111,15900,14
2008,98000,12500,10
2011,120070,16900,7
2006,90123,8900,7
2006,264000,6999,7
2013,112405,18000,7
2010,86000,13333,7
2007,158441,8500,14
2006,182000,9200,2
2011,79942,13900,12
2008,122000,12900,15
2006,162800,5999,1
2008,129803,12300,12
2009,117000,10900,15
2010,69000,14999,12
2008,124000,12400,5
2008,170000,16999,6
2011,125000,14900,7
2009,149000,13900,16
2008,173230,10900,15
2006,100000,15000,4
2005,233730,8900,9
2009,124000,11400,3
2006,120500,9900,16
2013,110000,17999,16
2008,140000,11900,11
2006,140123,9900,15
2006,139000,11000,5
2007,204000,8900,12
2007,74300,12700,9
2007,182358,9500,12
2011,69300,14500,15
2013,210000,11400,1
2009,77252,10800,4
2008,155000,13000,11
2009,180000,12999,12
2006,192950,8600,14
2006,163000,11900,5
2008,97544,13900,2
2008,185000,6900,9
2010,152889,12900,16
2009,144000,13500,12
2006,207000,6900,10
2009,123000,14000,13
2007,214301,11500,7
2008,145000,9999,13
2010,191000,12400,7
2007,183000,8700,12
2009,220000,7950,16
2011,79300,13400,1
2006,59300,11400,15
2012,129000,17400,9
2008,145000,11900,6
2009,121300,9700,15
2009,166752,7900,15
2006,130000,7900,16
2012,64040,15000,15
2006,130000,11900,6
2010,155000,13400,6
2007,150000,4900,3
2007,65000,11400,3
2007,128400,11900,12
2011,125000,13299,4
2009,194650,12900,7
2009,116000,7900,15
2008,314000,6400,13
2011,82000,17900,2
2007,152000,8900,8
2005,125000,8600,11
2009,123000,11900,6
2010,105000,13389,7
2008,196000,8499,5
2009,220000,5900,4
2007,144000,11200,15
2009,140000,9500,12
2012,158170,11900,1
2012,160000,13900,16
2010,146000,12000,7
2007,95000,9700,16
2013,63500,16700,15
2012,86900,15800,9
